words,frequency,polarity
approval,1,positive
reconciliation,1,positive
respect,1,positive
thrilled,17,positive
successful,1,positive
calm,1,positive
nice,1,positive
fortune,5,positive
beloved,1,positive
helpful,1,positive
lovely,1,positive
capable,2,positive
trust,4,positive
fast,2,positive
groundbreaking,1,positive
willing,1,positive
leading,7,positive
safe,6,positive
powerful,104,positive
ethical,4,positive
flexible,1,positive
support,97,positive
rewarding,1,positive
encourage,1,positive
advanced,2,positive
grateful,1,positive
encouraging,1,positive
satisfying,1,positive
rich,1,positive
loyal,1,positive
spiritual,1,positive
guidance,3,positive
hot,2,positive
subsidize,1,positive
qualify,1,positive
boost,7,positive
pretty,3,positive
breakthrough,28,positive
refund,2,positive
wealthy,1,positive
happy,11,positive
unbeatable,8,positive
liberty,25,positive
vibrant,1,positive
super,9,positive
creative,3,positive
confidence,1,positive
truthfully,1,positive
peace,34,positive
proud,8,positive
won,1,positive
glad,5,positive
clear,5,positive
greatest,2,positive
worked,144,positive
benefits,117,positive
advantage,2,positive
bravo,1,positive
excellence,2,positive
thank,97,positive
congratulations,22,positive
grace,1,positive
honor,2,positive
fastest,1,positive
eagerly,1,positive
master,5,positive
lead,8,positive
timely,1,positive
progress,1,positive
awarded,9,positive
right,61,positive
enjoyed,1,positive
proactive,1,positive
bliss,1,positive
trusted,1,positive
success,5,positive
excited,28,positive
fun,7,positive
effective,4,positive
awesome,1,positive
worth,2,positive
trusting,1,positive
ready,3,positive
inspiring,3,positive
promised,1,positive
comprehensive,1,positive
freedom,2,positive
innovation,9,positive
suitable,1,positive
excel,1,positive
brilliant,42,positive
fantastic,4,positive
wisdom,2,positive
educated,1,positive
genius,1,positive
abundance,5,positive
successfully,2,positive
best,10,positive
bless,2,positive
useful,4,positive
enjoyable,1,positive
passionate,1,positive
favor,3,positive
accessible,9,positive
wonder,4,positive
awards,41,positive
meaningful,1,positive
patient,1,positive
well,10,positive
modern,1,positive
led,14,positive
protect,1,positive
positive,3,positive
restructure,4,positive
passion,1,positive
excellently,5,positive
privilege,5,positive
bright,2,positive
intelligence,3,positive
great,37,positive
superb,2,positive
available,10,positive
extraordinary,1,positive
supports,6,positive
recommendations,1,positive
joy,2,positive
better,8,positive
interesting,4,positive
dedicated,9,positive
love,4,positive
supporting,2,positive
affordable,3,positive
celebrated,1,positive
inspire,2,positive
providence,3,positive
happiness,5,positive
reputation,1,positive
easy,2,positive
healthy,3,positive
supported,3,positive
like,161,positive
excellent,2,positive
stunning,1,positive
defender,1,positive
recommend,5,positive
empowerment,1,positive
sustainable,1,positive
celebrate,6,positive
perfect,1,positive
clean,1,positive
wellbeing,1,positive
advocate,1,positive
exciting,2,positive
consistently,1,positive
tough,1,positive
commitment,97,positive
helped,4,positive
promise,1,positive
thankful,1,positive
delighted,15,positive
variety,24,positive
compassion,3,positive
fair,7,positive
exemplar,2,positive
achievements,2,positive
amazing,2,positive
improve,4,positive
honored,1,positive
work,35,positive
good,17,positive
smart,2,positive
proper,9,positive
benefit,4,positive
integrated,3,positive
grand,1,positive
win,1,positive
innovative,2,positive
premier,9,positive
faith,5,positive
favorable,1,positive
authentic,1,positive
decent,16,positive
continuity,1,positive
trump,3,positive
qualified,2,positive
honest,1,positive
important,14,positive
privileged,4,positive
amazingly,2,positive
terrific,1,positive
masters,1,positive
free,262,positive
award,13,positive
fine,7,positive
talent,2,positive
helping,3,positive
aspire,1,positive
enough,5,positive
impressed,9,positive
elite,1,positive
top,53,positive
needless,1,negative
ashamed,1,negative
overwhelmingly,1,negative
disabled,2,negative
complex,1,negative
falling,28,negative
bs,5,negative
issue,22,negative
boiling,1,negative
problems,20,negative
debt,10,negative
failures,1,negative
fails,1,negative
denying,1,negative
fake,4,negative
challenging,4,negative
disruptive,3,negative
accidental,15,negative
dripping,1,negative
fucking,1,negative
vice,79,negative
funny,3,negative
isolate,19,negative
abuse,3,negative
pain,2,negative
impossible,1,negative
shortage,1,negative
hurt,2,negative
error,1,negative
lying,1,negative
weaknesses,4,negative
bored,1,negative
assault,1,negative
dragging,2,negative
miss,1,negative
undecided,1,negative
thirst,2,negative
propaganda,2,negative
blind,8,negative
struggle,1,negative
dies,1,negative
rape,1,negative
fraud,1,negative
concerns,7,negative
difficult,2,negative
disheartening,7,negative
criminal,1,negative
absence,1,negative
lost,7,negative
rough,2,negative
scrambling,6,negative
stupidity,2,negative
outbreak,13,negative
baffling,1,negative
hung,8,negative
stigma,1,negative
isolation,7,negative
lie,1,negative
risk,4,negative
shortcomings,1,negative
gloomy,2,negative
negligent,2,negative
disappointed,1,negative
